Word,Sentence,Correct Sense,Definition,
Cargo,The ship carried cargo across the sea.,Goods,Transported items,
Cargo,The cargo was inspected at port.,Freight,Shipped materials,
Carol,They sang a Christmas carol.,Song,Festive hymn,
Carol,The group caroled through the streets.,Action,Singing holiday songs,
Carpet,The room had a soft carpet.,Floor Covering,A material used to cover floors.,
Carpet,The designer chose a carpet pattern.,Decoration,A design or style of floor material.,
Carrier,The carrier delivered the package.,Transporter,A company that transports goods.,
Carrier,Mosquitoes can be disease carriers.,Transmitter,An organism that spreads disease.,
Carrot,The rabbit ate a carrot.,Vegetable,An edible root plant.,
Carrot,The chef added carrot pieces to the soup.,Ingredient,A food item used in cooking.,
Carrot,The farmer harvested fresh carrots.,Crop,A plant grown for food.,
Carrot,The recipe required grated carrot.,Ingredient,A food item used in preparing dishes.,
Cartoon,The child watched a cartoon.,Animation,A type of illustrated entertainment.,
Cartoon,The artist drew a cartoon of a person.,Drawing,A humorous or simplified picture.,
Cartridge,Replace the ink cartridge.,Printer Component,Container holding ink.,
Cartridge,The rifle uses this cartridge.,Ammunition Unit,Package containing a bullet and propellant.,
Cascade,A cascade flowed down the rocks.,Waterfall,Small waterfall.,
Cascade,One error caused a cascade of failures.,Chain Reaction,Series of connected events.,
Cascade,Water formed a cascade down the rocks.,Waterfall,Series of falling water,
Cascade,The decisions caused a cascade of effects.,Sequence,Chain reaction,
Case,The lawyer presented the case.,Legal Matter,A dispute brought before a court.,
Case,Put the phone in its case.,Container,A protective covering or box.,
Case,"In this case, we should wait.",Situation,A particular instance or circumstance.,
Cast,The cast applauded after the play.,Performers,Actors in a production.,
Cast,Her broken arm needed a cast.,Medical Support,A rigid bandage for healing bones.,
Cast,The cast took a bow.,Actors,The performers in a play.,
Cast,Cast the fishing line.,Throw,To send outward.,
Cast,His leg was in a cast.,Medical Covering,A hard support for healing bones.,
Caste,The caste system divided society.,Social Class,Hereditary social group,
Caste,He was born into a high caste.,Classification,Social ranking,
Castle,The tourists visited the old castle.,Building,A large fortified structure.,
Castle,The child built a sand castle.,Model,A structure made for play.,
Catalog,The catalog lists products.,Product Listing,Organized inventory.,
Catalog,Librarians catalog books.,Classify,To systematically organize.,
Catalog,She browsed the product catalog.,List,Organized collection,
Catalog,The library catalog was updated.,Record System,Listing of items,
Catalyst,Platinum acts as a catalyst.,Chemical Agent,Substance speeding a reaction.,
Catalyst,The event was a catalyst for change.,Trigger,Something causing action.,
Catalyst,Platinum acts as a catalyst in reactions.,Chemical Agent,Substance speeding reactions,
Catalyst,The speech was a catalyst for change.,Trigger,Cause of action,
Cavity,The dentist found a cavity.,Dental Hole,Tooth decay opening,
Cavity,The cavity in the rock held water.,Hollow,Empty space,
Cease,The noise did not cease.,Stop,Come to an end,
Cease,Both sides agreed to cease fire.,Halt,Stop action,
Cello,The musician played the cello.,Instrument,A string instrument played with a bow.,
Cello,The orchestra included a cello section.,Music Role,A group involving cello players.,
Celluloid,Old films used celluloid.,Material,Early plastic film.,
Celluloid,Hollywood celebrated celluloid history.,Film Industry,Motion-picture medium.,
Census,The census recorded population data.,Survey,Official population count,
Census,The government conducts a census.,Data Collection,Demographic survey,
Cereal,She ate cereal for breakfast.,Food,Grain-based meal,
Cereal,Wheat is a cereal crop.,Plant Type,Edible grain plant,
Chain,The bike chain broke.,Mechanical Part,Linked metal loops,
Chain,The company is part of a restaurant chain.,Organization,Linked businesses,
Chamber,The king entered the chamber.,Room,An enclosed room.,
Chamber,The bullet entered the chamber.,Firearm Compartment,Part of a gun holding ammunition.,
Chamberlain,The chamberlain managed the palace.,Royal Officer,Official in charge of household affairs.,
Chamberlain,The chamberlain greeted guests.,Administrator,Household manager.,
Change,Don't forget to collect your change at the cash register.,Money Returned,Money returned to someone as the balance of the sum paid for something,
Change,Technology can change the way we live and work.,Alter / Modify,Make or become different; alter or modify,
Channel,Change the TV channel.,Station,A broadcasting frequency.,
Channel,The ship entered the channel.,Waterway,A navigable body of water.,
Channel,She channeled her anger into art.,Direct,To guide toward a purpose.,
Channel,The TV channel is popular.,Media Outlet,Broadcast frequency,
Channel,The river channel is deep.,Water Path,Natural water route,
Channeler,She acted as a channeler of ideas.,Intermediary,One who transmits information.,
Channeler,Some claim to be spiritual channelers.,Medium,A person who communicates with spirits.,
Channeling,The river channeling reduced floods.,Directing Flow,Guiding movement.,
Channeling,She is channeling her energy wisely.,Focusing Effort,Directing effort toward a goal.,
Channelize,Engineers channelized the river.,Direct Flow,Guide water movement.,
Channelize,She channelized her efforts.,Focus,Direct energy toward a goal.,
Chapel,They visited the small chapel.,Building,A place used for worship.,
Chapel,The wedding was held inside the chapel.,Ceremony Location,A place where events occur.,
Chapter,The book has ten chapters.,Section,Division of text,
Chapter,The organization opened a new chapter.,Phase,Stage in development,
Charge,He paid the credit charge.,Cost,Price for service,
Charge,The police made a charge against him.,Accusation,Legal claim,
Charm,She wore a charm on her bracelet.,Ornament,A small decorative object.,
Charm,The town had a special charm.,Attraction,A quality that creates interest.,
Chart,The doctor studied the patient chart.,Record,A document containing information.,
Chart,The teacher showed a chart of results.,Diagram,A visual display of information.,
Chart,The chart shows sales data.,Graph,Visual representation,
Chart,The navigator charted the course.,Map,Plotting direction,
Charter,The city received a charter.,Legal Document,Grant of rights or authority.,
Charter,They chartered a plane.,Rent Exclusively,To hire for private use.,
Charter,The school operates under a charter.,Document,Formal agreement,
Charter,They charter a boat for fishing.,Action,Rent for use,
Chartered,They chartered a yacht.,Rented,Hired for exclusive use.,
Chartered,She is a chartered accountant.,Certified,Professionally accredited.,
Check,Please check your answers.,Verify,To examine for accuracy.,
Check,He paid with a check.,Payment Document,A written order directing a bank to pay money.,
Check,The hotel requires check-in at noon.,Registration Process,The act of officially arriving or registering.,
Check,He wrote a check for rent.,Payment,Written bank order,
Check,She checked the door.,Inspect,Examine or verify,
Checkpoint,Cars stopped at the checkpoint.,Inspection Station,Place for examination.,
Checkpoint,The game saved at a checkpoint.,Save Point,Progress marker.,
Checksum,Verify the checksum.,Validation Code,Value used to detect errors.,
Checksum,The checksum failed.,Integrity Test,Verification mechanism.,
Cheese,He added cheese to the sandwich.,Food,A dairy product.,
Cheese,The chef created a cheese recipe.,Ingredient,A component used in cooking.,
Cherry,She picked a cherry from the tree.,Fruit,A small red fruit.,
Cherry,The dessert had cherry flavor.,Taste,A flavor based on fruit.,
Cherry,The cherry tree grew in the garden.,Plant,A tree that produces fruit.,
Cherry,The drink had cherry flavor.,Taste,A fruit-based flavor.,
Chess,They played chess after school.,Game,A strategy board game.,
Chess,The coach taught chess techniques.,Activity,A structured thinking exercise.,
Chest,He complained of a sharp pain in his chest.,Body Anatomy,The front surface of a person's body between the neck and the abdomen,
Chest,The old pirate chest was filled with gold coins.,Storage Box,"A large heavy box or chest, typically made of wood, used for storage",
Chimney,Smoke escaped through the chimney.,Structure,A passage that carries smoke away.,
Chimney,The house model included a chimney.,Feature,A part of a building design.,
Chip,The child ate a potato chip during the movie.,Snack,A thin slice of fried potato or similar food.,
Chip,The technician replaced the damaged chip inside the device.,Electronic Component,A small semiconductor part used in electronic devices.,
Chipmunk,The chipmunk collected food near the tree.,Animal,A small striped rodent.,
Chipmunk,The story character was named after a chipmunk.,Name Reference,A name based on an animal.,
Chocolate,She ate chocolate after lunch.,Sweet Food,A food made from cocoa.,
Chocolate,The artist used chocolate-colored paint.,Color Shade,A brown color inspired by cocoa.,
Circle,The children drew a circle on paper.,Shape,A round geometric figure.,
Circle,The dancers formed a circle.,Arrangement,A group positioned in a round formation.,
Circle,The teacher drew a circle.,Geometric Shape,A round figure.,
Circle,The dancers stood in a circle.,Formation,A round arrangement of people.,
Circuit,The runner completed the circuit.,Route,A complete path around an area.,
Circuit,The circuit controls the lights.,Electrical System,A path for electrical current.,
Citation,The paper includes citations.,Reference,Source acknowledgment.,
Citation,The officer issued a citation.,Legal Notice,Official violation notice.,
Clam,The fisherman found a clam near the shore.,Animal,A shellfish living in water.,
Clam,The restaurant served clam soup.,Food,A seafood ingredient.,
Clarity,The water’s clarity was impressive.,Transparency,Clearness of substance,
Clarity,She spoke with clarity.,Expression,Clearness of thought,
Clasp,She wore a gold clasp on her necklace.,Fastener,Device that holds items together,
Clasp,He clasped her hand tightly.,Action,Grip or hold,
Clause,The contract contains a clause.,Legal Provision,A section of a document.,
Clause,Identify the subordinate clause.,Grammar Unit,A group of words with a subject and verb.,
Clause,The contract contains a clause.,Legal Part,Section of agreement,
Clause,The sentence has a relative clause.,Grammar,Part of sentence structure,
Clearance,The aircraft received clearance.,Authorization,Official permission.,
Clearance,The store held a clearance sale.,Inventory Reduction,Sale to remove stock.,
Click,She heard a click from the lock.,Sound,Short sharp noise,
Click,The mouse click opened the file.,Action,Pressing a button,
Climate,The region has a tropical climate.,Weather Pattern,Long-term weather condition,
Climate,The political climate is tense.,Atmosphere,General situation or mood,
Clinic,The patient visited the clinic.,Medical Facility,A place for healthcare services.,
Clinic,The building had a small clinic room.,Treatment Area,A room used for medical care.,
Clinic,She visited the dental clinic.,Medical Facility,Health treatment center,
Clinic,The coach ran a sports clinic.,Training Session,Instructional workshop,
Clip,She used a hair clip.,Object,Fastening device,
Clip,He clipped the article from the paper.,Action,Cut or attach briefly,
Clique,The clique excluded newcomers.,Social Group,Small exclusive circle.,
Clique,Researchers identified a clique in the network.,Graph Structure,Fully connected subgroup.,
Cloak,He wore a dark cloak.,Garment,Loose outer garment,
Cloak,They tried to cloak their intentions.,Conceal,Hide or cover,
Clock,The clock showed the correct time.,Device,An object that measures time.,
Clock,The artist painted a clock design.,Image,A representation of a time device.,
Clone,Scientists created a plant clone.,Organism,Genetically identical copy,
Clone,The software is a clone of the original.,Copy,Replicated version,
Closet,She stored clothes inside the closet.,Storage Space,A small enclosed storage area.,
Closet,The theater had a costume closet.,Collection Area,A place where items are kept.,
Cloud,The cloud covered the mountain.,Weather Formation,A mass of water vapor in the sky.,
Cloud,The company stored data in the cloud.,Online Storage,Internet-based data storage.,
Cloud,The cloud blocked the sunlight.,Weather Object,A visible mass of water droplets.,
Cloud,The company used cloud computing.,Digital System,Internet-based computing resources.,
Cloud,A cloud covered the sky.,Weather,Visible vapor mass,
Cloud,The data is stored in the cloud.,Computing,Remote digital storage,
Club,He joined the chess club.,Organization,A group with a shared interest.,
Club,The golfer selected a club.,Sports Equipment,A stick used in golf.,
Club,The club stayed open until midnight.,Nightclub,A venue for entertainment and dancing.,
Cluster,A cluster of stars appeared.,Group,A collection of similar things.,
Cluster,The servers form a computing cluster.,Computer Network,Connected computers acting together.,
Cluster,A cluster of stars formed in space.,Group,Collection of similar items,
Cluster,The servers cluster together for efficiency.,Computing Group,Grouped systems,
Clusterhead,The clusterhead coordinated the group.,Leader,Head of a cluster.,
Clusterhead,The network elected a clusterhead.,Network Node,Coordinating node in a system.,
Clusterize,The software can clusterize data.,Group Automatically,Organize into clusters.,
Clusterize,Scientists clusterized observations.,Classify,Group by similarity.,
Clutch,She wore a small clutch bag.,Accessory,Handbag without straps,
Clutch,The player made a clutch shot.,Critical Moment,Decisive performance,
Coach,The coach trained the team.,Trainer,Sports instructor,
Coach,They traveled by coach to the city.,Vehicle,Long-distance bus,
Coat,Wear a coat in cold weather.,Outer Garment,Clothing worn over other clothes.,
Coat,Apply a coat of paint.,Layer,A covering spread over a surface.,
Code,The programmer wrote code.,Instructions,Commands for a computer.,
Code,Enter the security code.,Symbol System,A set of numbers or letters used for identification.,
Code,The programmer wrote code.,Programming,Instructions for computer,
Code,They followed a secret code.,System,Set of symbols or rules,
Coffee,She drank coffee in the morning.,Beverage,A drink made from roasted beans.,
Coffee,The café offered different coffee flavors.,Product,A prepared drink sold commercially.,
Coil,The wire was shaped into a coil.,Shape,Spiral form,
Coil,The snake began to coil itself.,Action,Curl into loops,
Collapse,The building may collapse.,Fall,Sudden structural failure,
Collapse,He suffered a mental collapse.,Breakdown,Psychological failure,
Collar,The dog wore a collar.,Accessory,Band around neck,
Collar,He grabbed him by the collar.,Clothing Part,Shirt neck section,
Colony,The ants formed a colony.,Animal Group,A community of animals.,
Colony,The nation was once a colony.,Territory,Land controlled by another country.,
Colony,The ants formed a colony.,Organism Group,Animal community,
Colony,The country was once a colony.,Territory,Governed region,
Column,The building has marble columns.,Structure,Vertical support pillar,
Column,She wrote a newspaper column.,Article,Recurring publication section,
Combat,Soldiers trained for combat.,Fighting,Armed conflict,
Combat,She tried to combat illness.,Action,Oppose or fight against,
Combine,Farmers use a combine harvester.,Machine,Agricultural equipment,
Combine,They combine ideas in the project.,Action,Join together,
Comet,The comet passed near Earth.,Space Object,A body of ice and dust orbiting the sun.,
Comet,The scientist photographed the comet trail.,Celestial Body,An object found in space.,
Comic,He enjoys reading comic books.,Genre,Illustrated humorous story,
Comic,The comedian gave a comic performance.,Entertainer,Funny performer,
Command,The officer gave a command.,Order,Authoritative instruction,
Command,He has command of the language.,Mastery,Control or skill,
Commerce,Commerce thrives in cities.,Trade,Buying and selling,
Commerce,He studied international commerce.,Field,Business activity,
Commission,The artist earned a commission.,Payment,Fee based on sales.,
Commission,The commission released findings.,Committee,Official investigative group.,
Commission,She earned a commission on sales.,Payment,Percentage fee,
Commission,The government formed a commission.,Group,Official investigation body,
Commissioner,The commissioner announced new rules.,Official,Person with authority.,
Commissioner,The sports commissioner suspended a player.,League Executive,Head administrator of a league.,
Compact,She carried a compact mirror.,Object,Small cosmetic case,
Compact,They made a compact agreement.,Agreement,Tightly packed arrangement,
Compass,The traveler used a compass.,Direction Tool,A device that shows direction.,
Compass,The teacher explained a compass symbol.,Diagram Element,A mark showing orientation.,
Compass,The explorer checked the compass.,Navigation Tool,An instrument showing direction.,
Compass,The teacher drew a compass symbol.,Map Symbol,A mark indicating directions.,
Compass,She used a compass to find north.,Navigation Tool,Instrument for direction,
Compass,The issue lies outside the moral compass.,Sense Of Ethics,Internal guide of right and wrong,
Compilation,The album is a compilation.,Collection,Gathered works.,
Compilation,Compilation completed successfully.,Code Conversion,Translating source code.,
Compiler,The compiler found an error.,Software Tool,Program translating source code.,
Compiler,She worked as a compiler of dictionaries.,Collector,Person who gathers information.,
Complement,The sauce is a perfect complement to the dish.,Enhancement,Something that completes,
Complement,"In grammar, “you” is a complement in the sentence.",Linguistic Role,Word completing meaning,
Component,The engine has several components.,Part,Individual element of a system,
Component,Trust is a key component of relationships.,Factor,Essential element,
Compound,Water is a chemical compound.,Chemical Substance,A substance made of elements.,
Compound,The family lived in a compound.,Enclosed Area,A group of buildings within a boundary.,
Compound,Water is a chemical compound.,Substance,Combination of elements,
Compound,The prison compound was heavily guarded.,Enclosed Area,Restricted complex,
Concession,The company made a concession.,Compromise,Something granted reluctantly.,
Concession,Buy snacks at the concession.,Sales Stand,Food or merchandise booth.,
Concession,The company made a concession in negotiations.,Compromise,Yielding of demand,
Concession,The concession stand sold snacks.,Stall,Sales booth,
Concord,The nations lived in concord.,Harmony,Peaceful agreement,
Concord,The sentence shows subject-verb concord.,Grammar,Agreement in form,
Condense,The gas condenses into liquid.,Physical Process,Change into liquid,
Condense,He condensed the report into a summary.,Action,Shorten content,
Conduit,Wires run through the conduit.,Tube,Protective channel.,
Conduit,He served as a conduit of information.,Intermediary,Means of transmission.,
Conduit,The pipe acts as a conduit for water.,Channel,Passage for flow,
Conduit,She became a conduit for information.,Intermediary,Means of transmission,
Conduit,The tunnel serves as a conduit for cables.,Passage,Channel for transmission,
Configuration,Check the router configuration.,Settings,Arrangement of options.,
Configuration,The mountain range has a unique configuration.,Shape,Spatial arrangement.,
Consensus,The group reached consensus.,Agreement,General accord,
Consensus,Scientific consensus supports the theory.,Collective View,Shared opinion,
Conserve,We must conserve water.,Preserve,Use sparingly,
Conserve,The museum conserves ancient artifacts.,Protect,Maintain condition,
Console,The player bought a console.,Gaming Device,Electronic gaming system.,
Console,Friends tried to console her.,Comfort,To ease sadness.,
Console,She felt comforted when he tried to console her.,Comfort,Soothe emotional distress,
Console,He played games on a console.,Device,Gaming system,
Consonant,“B” is a consonant.,Letter Type,Speech sound category,
Consonant,The sounds are consonant in harmony.,Musical Agreement,Harmonious sound,
Consortium,The consortium funded research.,Alliance,Association of organizations.,
Consortium,Universities formed a consortium.,Partnership,Cooperative group.,
Constituency,The senator met her constituency.,Voters,Group represented politically.,
Constituency,The product has a global constituency.,Supporters,People sharing an interest.,
Constraint,Time is a major constraint.,Limitation,Restricting factor,
Constraint,The system operates under strict constraints.,Restriction,Imposed limit,
Construct,Engineers construct buildings.,Build,Create physically,
Construct,The idea is a social construct.,Concept,Mental framework,
Consultation,She scheduled a medical consultation.,Meeting,Professional advice session,
Consultation,Legal consultation was required.,Advice Session,Expert discussion,
Contact,I lost contact with him.,Communication,Connection with a person,
Contact,She made eye contact.,Physical Relation,Visual connection,
Container,The container held chemicals.,Vessel,Object that stores items,
Container,The software container runs applications.,Computing Unit,Isolated runtime environment,
Context,The quote lacks context.,Surrounding Information,Circumstances around something.,
Context,Programming uses execution context.,Computing Environment,Conditions under which code runs.,
Context,The word changes meaning depending on context.,Setting,Surrounding situation,
Context,Historical context is important.,Background,Conditions influencing meaning,
Contract,They signed a contract.,Agreement,Legal document,
Contract,Muscles contract during exercise.,Physical Action,Shorten or tighten,
Contrast,The colors contrast sharply.,Difference,Distinction between things,
Contrast,She used contrast in her essay.,Comparison,Highlighting differences,
Control,He lost control of the car.,Regulation,Ability to manage,
Control,The scientist ran a control experiment.,Test Type,Baseline comparison,
Convention,The convention begins tomorrow.,Meeting,Large organized gathering.,
Convention,Handshakes are a social convention.,Custom,Accepted practice.,
Convert,They convert water into steam.,Transform,Change form,
Convert,He is a recent convert to the religion.,Person Change,Someone who adopts belief,
Convoy,The convoy moved slowly through the desert.,Group,Vehicles traveling together,
Convoy,The ships formed a convoy.,Formation,Protected group movement,
Cookie,The child ate a cookie.,Baked Food,A small sweet baked item.,
Cookie,The website saved a cookie.,Data File,A small piece of stored website information.,
Coordinate,They coordinate the event.,Organize,Manage activities,
Coordinate,The point lies on the coordinate plane.,Math Value,Position reference,
Coral,The diver saw coral underwater.,Marine Organism,A sea organism forming reefs.,
Coral,The necklace was made from coral material.,Decoration,A material used in jewelry.,
Coral,The scientist studied coral growth.,Sea Organism,A living structure in the ocean.,
Coral,The artist painted coral patterns.,Design,A decorative pattern inspired by coral.,
Coral,The diver photographed coral.,Ocean Organism,A living structure found underwater.,
Coral,The artist used coral colors.,Color Reference,A shade inspired by coral.,
Core,The Earth has a molten core.,Center,Innermost part,
Core,The course covers core concepts.,Essential Part,Fundamental element,
Corridor,Walk down the corridor.,Hallway,Passage inside a building.,
Corridor,The air corridor was restricted.,Route,Designated travel path.,
Corridor,The corridor was long and empty.,Passage,Hallway,
Corridor,A trade corridor connects countries.,Route,Connected pathway,
Costume,The actor wore a costume.,Clothing,Clothing used for a role or event.,
Costume,The designer created a costume collection.,Outfit Design,A style of clothing creation.,
Cotton,The shirt was made from cotton.,Fabric,A soft textile material.,
Cotton,Farmers harvested cotton in the field.,Crop,A plant grown for fiber.,
Counsel,She sought legal counsel.,Advice,Professional guidance,
Counsel,The counselor gave emotional counsel.,Guidance,Supportive advice,
Counterfeit,The money was counterfeit.,Fake Item,Imitation product,
Counterfeit,They were arrested for counterfeit goods.,Illegal Item,Forged object,
Counterpart,She met her foreign counterpart.,Equivalent Person,Person with a similar role.,
Counterpart,The digital counterpart mirrors the object.,Equivalent Thing,Corresponding version.,
Courier,The courier delivered the package.,Delivery Worker,Person transporting items.,
Courier,The company hired a courier.,Transport Service,Delivery organization.,
Court,The court ruled in her favor.,Legal Institution,A place where legal cases are heard.,
Court,The players entered the basketball court.,Sports Area,A playing surface for sports.,
Court,The prince tried to court the princess.,Pursue Romantically,To seek someone's affection.,
Covenant,The covenant was signed by both parties.,Agreement,Formal promise,
Covenant,Religious covenant binds members.,Pact,Sacred agreement,
Crack,There is a crack in the wall.,Fracture,A narrow break.,
Crack,He heard a crack of thunder.,Sharp Sound,A sudden loud noise.,
Crack,She cracked the code.,Solve,To figure out a difficult problem.,
Crane,The crane lifted the steel beams.,Lifting Machine,A machine used to raise and move heavy objects.,
Crane,A crane stood near the lake.,Bird,A long-legged bird.,
Crane,He craned his neck to see.,Stretch Neck,To extend the neck forward.,
Craneberry,The farmer planted craneberry bushes near the field.,Plant,A plant that produces small edible fruits.,
Craneberry,The chef added craneberry sauce to the dish.,Food Ingredient,A fruit product used in cooking.,
Craneberry,❌ excluded earlier list,,#VALUE!,
Cranefly,The cranefly rested on the leaf.,Insect,A long-legged flying insect.,
Cranefly,Researchers studied the cranefly species.,Organism Type,A specific type of living creature.,
Cranehook,The worker attached the cranehook to the load.,Lifting Tool,A hook used for raising heavy objects.,
Cranehook,The manual explained how to inspect the cranehook.,Machine Component,A part used in lifting equipment.,
Crash,The computer crashed.,System Failure,Sudden program or system failure.,
Crash,The cars were involved in a crash.,Collision,An accident involving impact.,
Credential,Enter your credentials.,Login Information,Authentication details.,
Credential,She has excellent credentials.,Qualification,Evidence of competence.,
Credentialing,Credentialing took several weeks.,Certification Process,Verification of qualifications.,
Credentialing,Hospitals require credentialing.,Approval Procedure,Formal authorization process.,
Credit,The store gave me credit.,Financial Trust,Ability to borrow money.,
Credit,She deserves credit for the project.,Recognition,Praise for achievement.,
Crest,The wave reached its crest.,Highest Point,Top of a wave.,
Crest,The family crest is displayed.,Emblem,Symbol of a family.,
Crop,Farmers harvested the rice crop in June.,Agricultural Yield,Plants grown for food or profit.,
Crop,She cropped the photo before uploading it.,Cut/Trim,To remove unwanted parts of an image.,
Cross,Cross the street carefully.,Move Across,To pass from one side to another.,
Cross,The church displayed a cross.,Religious Symbol,A christian emblem.,
Cross,She became cross with her brother.,Annoyed,Slightly angry.,
Crown,The king wore a crown.,Royal Headpiece,Symbol of monarchy.,
Crown,The dentist repaired the crown.,Dental Cap,Artificial covering for a tooth.,
Crown,The tree's crown was wide.,Top Portion,Upper part of a tree.,
Crystal,The cave contained a crystal formation.,Mineral,A solid with an ordered structure.,
Crystal,She wore a crystal necklace.,Jewelry Material,A decorative mineral used in accessories.,
Crystal,The scientist examined the crystal.,Mineral,A solid substance with a regular structure.,
Crystal,The lamp had a crystal decoration.,Ornament,A decorative object.,
Cube,The child played with a cube toy.,Shape,A three-dimensional object with equal sides.,
Cube,The box was shaped like a cube.,Object Form,A solid geometric figure.,
Cue,That's my cue to leave.,Signal,Prompt for action.,
Cue,He chalked the cue.,Pool Stick,Stick used in billiards.,
Culture,The company has a positive culture.,Organizational Values,Shared attitudes and practices.,
Culture,French culture is influential.,Social Customs,Traditions and beliefs of a society.,
Cupcake,The child ate a cupcake.,Dessert,A small sweet baked cake.,
Cupcake,The bakery created a cupcake design.,Decoration,A small cake-shaped decoration.,
Current,The river current is strong.,Water Flow,Movement of water in a direction.,
Current,Current events are discussed in class.,Present Time,Existing or occurring now.,
Current,Electric current flows through the wire.,Electricity Flow,Movement of electric charge.,
Curtain,She closed the curtain before sleeping.,Fabric Covering,A hanging cloth used for covering.,
Curtain,The theater curtain opened before the show.,Stage Cover,A cloth separating the stage area.,
Cushion,The chair had a soft cushion.,Padding,A soft object used for comfort.,
Cushion,The safety equipment used a cushion layer.,Protective Layer,A soft material that absorbs impact.,
Custodian,The custodian cleaned the school.,Caretaker,Person maintaining property.,
Custodian,The bank is custodian of the assets.,Guardian,Institution holding property for others.,
Custody,The child remained in her custody.,Guardianship,Legal care responsibility.,
Custody,The evidence is in police custody.,Possession,Official control.,
Cycle,The washing machine completed a cycle.,Sequence,Repeating process.,
Cycle,He rides a cycle to school.,Bicycle,Two-wheeled vehicle.,
Cylinder,The container was shaped like a cylinder.,Shape,A three-dimensional figure with circular ends.,
Cylinder,The engine used a cylinder part.,Machine Component,A round mechanical part.,
Dab,She gave a dab of perfume on her wrist.,Small Amount,A light application,
Dab,The athlete made a quick dab of the ball.,Touch Action,Brief tap or touch,
Dairy,The farm produced fresh dairy every morning.,Food Product,Products made from milk.,
Dairy,She works at a dairy near the town.,Place,A facility where milk is processed.,
Dam,The dam controls the river.,Barrier,A structure holding back water.,
Dam,The puppy stayed with its dam.,Mother Animal,A female parent animal.,
Dam,The dam controls flooding.,Barrier,A structure holding back water.,
Dam,The foal stayed near its dam.,Mother Animal,A female parent anima,
Dam,The dam controls river water.,Structure,Barrier for water storage,
Dam,The cow and her dam were in the field.,Animal Relation,Mother of an animal,
Damask,The curtains were made of damask fabric.,Textile,A patterned woven cloth.,
Damask,The designer chose a damask design for the room.,Pattern,A decorative style.,
Dart,He threw a dart at the board.,Game Object,A small pointed projectile.,
Dart,The fish darted across the water.,Movement,A quick sudden movement.,
Dart,The child threw a dart at the board.,Projectile,Pointed throwing object,
Dart,The fish dart through the water.,Movement,Quick sudden motion,
Dash,He made a dash for the door.,Run,Sudden movement,
Dash,Add a dash of salt to the soup.,Small Amount,A little quantity,
Dashboard,The dashboard displayed speed.,Vehicle Panel,Instrument area in a vehicle.,
Dashboard,The dashboard shows analytics.,Interface,Information display screen.,
Database,The database stores records.,Data Collection,Organized information storage.,
Database,The library database is searchable.,Information System,Structured retrieval system.,
Database,The database stores customer records.,System,Structured data storage,
Database,The researcher queried the database.,Information System,Organized data collection,
Database,The research database was updated.,System,Structured data storage,
Database,She searched the medical database.,Collection,Organized information set,
Datafile,The system saved a datafile.,Digital File,A stored collection of information.,
Datafile,The analyst opened the datafile.,Record,A structured information set.,
Datastore,The datastore contains records.,Storage System,Repository for information.,
Datastore,The app connects to a datastore.,Database,Structured storage resource.,
Date,What is the date of your graduation ceremony?,Calendar Time,The day of the month or year as specified by a number,
Date,They went out on a romantic date to an Italian restaurant.,Romantic Meeting,A social or romantic appointment or engagement,
Date,"The palm tree produced sweet, delicious date fruits.",Fruit,"A sweet, dark brown, oval fruit that grows on a palm tree",
Datum,Each datum was recorded carefully.,Data Point,Single piece of information,
Datum,The datum supports the theory.,Observation,Measured value,
Dawn,The sun rose at dawn.,Time Of Day,Early morning when light appears.,
Dawn,A new idea began to dawn on him.,Realization,The start of understanding.,
Dawn,The dawn was bright and clear.,Time Of Day,Early morning light,
Dawn,It began to dawn on him.,Realization,Understanding gradually forming,
Dazzle,The lights dazzle the audience.,Impress,Overwhelm visually,
Dazzle,The diamond’s dazzle was intense.,Brightness,Sparkling brilliance,
Deadlock,The negotiation reached a deadlock.,Stalemate,Complete standstill,
Deadlock,The system caused a deadlock.,Computing State,Blocked process condition,
Deal,They made a business deal.,Agreement,Formal arrangement,
Deal,The dealer will deal the cards.,Action,Distribute items,
Dealer,The dealer sold antiques.,Seller,Person who trades goods,
Dealer,The card dealer shuffled cards.,Game Role,Person distributing cards,
Debate,The debate lasted hours.,Discussion,Formal argument,
Debate,They will debate the issue.,Action,Discuss opposing views,
Debit,The purchase was a debit.,Account Deduction,Removal of funds.,
Debit,Enter the transaction as a debit.,Accounting Entry,Left-side bookkeeping entry.,
Debrief,The team held a debrief.,Review Meeting,Discussion after an event.,
Debrief,The officer debriefed witnesses.,Question,Gather information after an event.,
Decal,The car had a colorful decal.,Sticker,A decorative printed design.,
Decal,The artist created a decal for the product.,Graphic,A design applied to surfaces.,
Decay,The fruit began to decay.,Rot,Decomposition process,
Decay,The signal showed exponential decay.,Decrease,Gradual reduction,
Decision,The decision was final.,Choice,Conclusion made,
Decision,The court’s decision was appealed.,Ruling,Official judgment,
Deck,The ship’s deck was crowded.,Surface,A flat surface on a ship.,
Deck,They built a wooden deck outside.,Platform,A raised outdoor structure.,
Deck,The ship’s deck was wet.,Structure,Flat surface on a ship,
Deck,She shuffled the deck of cards.,Object Set,Pack of playing cards,
Deckhand,The deckhand cleaned the ship.,Crew Role,Worker on a ship,
Deckhand,The deckhand helped unload cargo.,Occupation,Ship maintenance worker,
Declaration,The declaration was read aloud.,Statement,Formal announcement,
